선택 직무,질문 구성,번호,질문,모범 답변
간호사,지원동기,1,지원자께서 우리 병원에 지원하게 된 특별한 동기가 있으신지 말씀해 주시겠어요?,
간호사,지원동기,2,많은 병원 중에서 굳이 우리 병원에서 일하고 싶다고 생각하신 이유는 무엇인가요?,
간호사,지원동기,3,본인이 생각하기에 꼭 우리 병원에 와야만 하는 특별한 이유가 있나요?,
간호사,지원동기,4,우리 병원을 선택하신 이유를 조금 솔직하게 말씀해 주신다면 무엇일까요?,
간호사,지원동기,5,우리 병원에 입사하기 위해서 그동안 구체적으로 어떤 노력들을 해오셨나요?,
간호사,지원동기,6,지금 지원하신 그 부서에서 일하기 위해 본인은 어떤 준비를 해오셨나요?,
간호사,지원동기,7,수많은 병원 중에서 왜 하필 우리 병원에 지원하셨는지 궁금합니다.,
간호사,지원동기,8,"간호사가 참 힘든 직업인데, 그럼에도 불구하고 이 일을 하고 싶으신 이유는 무엇인가요?",
간호사,지원동기,9,"우리 병원에서 근무하게 된다면, 앞으로 어떤 간호사로 기억되고 싶으신가요?",
간호사,지원동기,10,"다른 좋은 병원들도 많은데, 그중에서 우리 병원을 선택하신 솔직한 이유를 말씀해 주시겠어요?",
간호사,지원동기,11,"자기소개서에 적은 내용 말고, 지금 이 자리에서 지원자분이 우리 병원을 선택한 진짜 이유를 딱 한 문장으로 말씀해 주실 수 있나요?",
간호사,지원동기,12,우리 병원의 핵심 가치나 비전 중에서 지원자분의 가치관과 가장 잘 맞는 부분은 무엇이었나요?,
간호사,지원동기,13,입사하신다면 우리 병원의 어떤 점이 본인의 성장에 가장 큰 도움이 될 거라고 생각해서 지원하셨나요?,
간호사,지원동기,14,"만약 오늘 면접에서 떨어지신다면, 다음 채용 때 우리 병원에 다시 지원하실 의향이 있으신가요? 그 이유는요?",
간호사,지원동기,15,본인의 강점이 우리 병원의 발전에 어떻게 기여할 수 있다고 생각해서 지원하게 되었나요?,
간호사,지원동기,16,본인이 가지고 있는 간호 철학이 우리 병원이 추구하는 미션이나 비전과 어떻게 연결된다고 생각해서 지원하셨나요?,
간호사,지원동기,17,"우리 병원에 입사하기 위해 오랜 기간 준비하셨을 텐데, 준비 과정에서 우리 병원에 대해 새롭게 알게 되거나 더 관심을 갖게 된 점이 있었나요?",
간호사,지원동기,18,"사실 병원 시설이나 복지는 다 비슷비슷할 수도 있는데, 그런 조건을 떠나서 우리 병원만의 '이것' 때문에 지원했다 싶은 게 있으신가요?",
간호사,지원동기,19,"나중에 입사해서 일하다가 너무 힘들 때, '그래도 내가 이 병원을 선택하길 잘했어'라고 생각하게 만들 만한 우리 병원의 매력은 무엇이라고 생각하시나요?",
간호사,지원동기,20,"여러 병원에 지원하셨을 텐데, 만약 다른 곳에도 동시에 합격하신다면 망설임 없이 우리 병원을 선택하실 건가요?",
