선택 직무,질문 구성,번호,질문,모범 답변
국제의료관광코디네이터,지원동기,1,한국의 여러 분야 중에서도 특별히 의료 관광 산업에 관심을 갖게 된 계기가 무엇인가요?,
국제의료관광코디네이터,지원동기,2,"한국에 오시게 된 계기와, 여기서 직업을 구하면서 의료 코디네이터를 선택하신 이유가 궁금합니다.",
국제의료관광코디네이터,지원동기,3,본인의 모국이 아닌 한국에서 병원 근무를 희망하시는 특별한 이유가 있으신가요?,
국제의료관광코디네이터,지원동기,4,지원자분이 가진 언어 능력과 문화적 배경이 우리 병원의 외국인 환자들에게 어떤 도움이 될 거라고 생각하시나요?,
국제의료관광코디네이터,지원동기,5,"의료 코디네이터는 단순 통역사 그 이상의 역할이 필요한데, 본인이 생각하는 이 직업의 매력은 무엇인가요?",
국제의료관광코디네이터,지원동기,6,본인의 성격이 의료 코디네이터라는 서비스 직무와 잘 맞는다고 생각하시는 이유는 무엇인가요?,
국제의료관광코디네이터,지원동기,7,"아픈 환자를 대하는 일은 일반적인 서비스와는 좀 다를 텐데, 그럼에도 불구하고 이 일을 선택하신 이유는 무엇인가요?",
국제의료관광코디네이터,지원동기,8,우리 병원의 주요 타겟 국가나 환자층에 대해 알고 계신가요? 본인이 그 부분에 어떻게 기여할 수 있다고 판단하셨나요?,
국제의료관광코디네이터,지원동기,9,수많은 한국 병원 중에서 특별히 우리 병원에 지원하게 된 결정적인 동기는 무엇인가요?,
국제의료관광코디네이터,지원동기,10,"우리 병원이 추구하는 핵심 가치나 비전 중에서, 지원자분의 평소 생각이나 가치관과 가장 잘 맞는 부분은 무엇이었나요?",
국제의료관광코디네이터,지원동기,11,"본인이 생각하기에, 다른 곳이 아닌 꼭 우리 병원에 와야만 본인의 능력을 잘 발휘할 수 있다고 생각한 이유가 있나요?",
국제의료관광코디네이터,지원동기,12,"본인이 생각하는 '좋은 의료 서비스'란 무엇이며, 그 생각이 우리 병원이 추구하는 방향과 어떻게 연결된다고 생각해서 지원하셨나요?",
국제의료관광코디네이터,지원동기,13,우리 병원에 입사하기 위해서 한국어 공부 외에 구체적으로 어떤 노력이나 준비를 해오셨나요?,
국제의료관광코디네이터,지원동기,14,여러 조건을 떠나서 우리 병원만의 '이것' 때문에 지원했다 싶은 매력 포인트가 있으신가요?,
국제의료관광코디네이터,지원동기,15,만약 다른 곳에도 동시에 합격하신다면 망설임 없이 우리 병원을 선택하실 건가요?,
국제의료관광코디네이터,지원동기,16,한국에서 취업을 결심하신 가장 큰 이유는 무엇인가요?,
국제의료관광코디네이터,지원동기,17,"한국의 의료관광 시장이 계속 커지고 있는데, 그 흐름 속에서 본인은 우리 병원과 함께 어떤 전문가로 성장하고 싶어서 지원하셨나요?",
국제의료관광코디네이터,지원동기,18,"취업을 준비하면서 여러 병원을 찾아보셨을 텐데, 우리 병원의 분위기나 시스템 중 어떤 부분이 본인의 성격과 가장 잘 맞을 것 같다고 판단하셨나요?",
국제의료관광코디네이터,지원동기,19,"외국인 직원으로서 한국 병원 시스템에 적응하는 게 쉽지 않을 수도 있는데, 그런 어려움을 감수하고서라도 꼭 우리 병원에서 일하고 싶은 간절한 이유는 무엇인가요?",
국제의료관광코디네이터,지원동기,20,"우리 병원의 위치나 규모, 혹은 전문 진료 분야 중 어떤 점이 지원자분의 마음을 움직였는지 궁금합니다.",
국제의료관광코디네이터,기관이해,1,우리 병원이 가진 가장 큰 매력이나 경쟁력은 무엇이라고 생각하시나요?,
국제의료관광코디네이터,기관이해,2,최근 우리 병원이 외국인 환자를 유치하기 위해 진행한 마케팅이나 활동 중에 기억에 남는 것이 있으신가요?,
국제의료관광코디네이터,기관이해,3,"다른 병원들과 비교했을 때, 우리 병원만이 가진 특별한 강점은 무엇이라고 분석하셨나요?",
국제의료관광코디네이터,기관이해,4,앞으로 우리 병원이 글로벌 병원으로 더 성장하기 위해서는 어떤 점을 더 강화해야 한다고 생각하시나요?,
국제의료관광코디네이터,기관이해,5,"우리 병원이 추구하는 여러 핵심 가치 중에서, 지원자분이 보시기에 가장 중요하다고 생각되는 가치는 무엇인가요?",
국제의료관광코디네이터,기관이해,6,"최근 병원들이 환자 공감이나 경험을 중요하게 여기는데, 혹시 우리 병원이 시행 중인 관련 제도나 프로그램에 대해 알고 계신 게 있나요?",
국제의료관광코디네이터,기관이해,7,"우리 병원의 일원이 된다면, 매일 어떤 마음가짐으로 출근해서 환자를 대하실 생각인가요?",
국제의료관광코디네이터,기관이해,8,"최근 의료계가 많이 어려운데, 우리 병원이 지속적으로 성장하기 위해서는 어떤 점을 더 강화해야 한다고 생각하시나요?",
국제의료관광코디네이터,기관이해,9,지원자분의 성격이나 평소 가치관이 우리 병원의 조직 분위기와 잘 어울린다고 생각하는 이유는 구체적으로 무엇인가요?,
국제의료관광코디네이터,기관이해,10,다른 병원이 아닌 우리 병원에서만 경험할 수 있는 특별한 장점이 있다면 무엇이라고 생각하시나요?,
국제의료관광코디네이터,기관이해,11,지원자분이 생각하시기에 우리 병원이 다른 병원들과 비교했을 때 가진 가장 큰 강점은 무엇이라고 보시나요?,
국제의료관광코디네이터,기관이해,12,입사하게 된다면 우리 병원의 미션이나 비전을 달성하는 데 본인이 어떤 기여를 할 수 있을까요?,
국제의료관광코디네이터,기관이해,13,현재 우리 병원이 가장 주력하고 있는 외국인 환자 타겟 국가가 어디인지 알고 계신가요? 그 시장에서 우리 병원의 인지도는 어떻다고 생각하세요?,
국제의료관광코디네이터,기관이해,14,"면접을 준비하시면서 우리 병원에 대한 정보를 주로 어디서 찾으셨고, 그중 가장 기억에 남는 내용은 무엇이었나요?",
국제의료관광코디네이터,기관이해,15,우리 병원에 들어오셨을 때 또는 홈페이지를 처음 봤을 때 느꼈던 첫인상이나 분위기는 어땠나요?,
국제의료관광코디네이터,기관이해,16,"병원은 일반 회사와 분위기가 많이 다를 텐데, 우리 병원의 조직 문화나 환경에 대해 어떻게 예상하고 계신가요?",
국제의료관광코디네이터,기관이해,17,우리 병원이 경쟁 병원 대비 확실히 강하다고 보는 진료 분야나 서비스가 있을까요?,
국제의료관광코디네이터,기관이해,18,"국제의료코디네이터 관점에서 봤을 때, 우리 병원이 글로벌 병원으로 더 성장하려면 뭘 더 강화해야 한다고 보시나요?",
국제의료관광코디네이터,기관이해,19,"우리 병원 리뷰나 환자 후기들을 찾아보셨다면, 공통적으로 많이 언급되는 장점이 뭐였나요?",
국제의료관광코디네이터,기관이해,20,"우리 병원이 외국인 환자에게 제공하는 안내 언어, 자료, 동선 같은 부분은 어떻게 평가하셨나요?",
국제의료관광코디네이터,인성,1,본인 성격에서 가장 큰 장점 하나만 꼽는다면 뭐라고 말씀하시겠어요?,
국제의료관광코디네이터,인성,2,"업무하다 보면 예민해지기 쉬운데, 스트레스가 쌓일 때 본인만의 해소 방법이 따로 있으세요?",
국제의료관광코디네이터,인성,3,꾸준함을 보여줄 만한 습관이나 활동이 있으면 하나 소개해주실 수 있나요?,
국제의료관광코디네이터,인성,4,환자나 보호자랑 라포를 형성할 때 지원자분이 자신 있는 포인트는 뭐예요?,
국제의료관광코디네이터,인성,5,"실제로 누군가랑 신뢰를 잘 만들어냈던 경험이 있으면, 상황이랑 본인이 한 행동을 같이 설명해주실래요?",
국제의료관광코디네이터,인성,6,"본인이 실수했던 경험 하나 말씀해주시고, 그 이후에 어떤 방식으로 재발 방지를 했는지도 알려주세요.",
국제의료관광코디네이터,인성,7,"살면서 가장 크게 좌절했던 순간이 있었다면, 그때 어떻게 다시 회복하셨나요?",
국제의료관광코디네이터,인성,8,의료현장에서 일하는 사람에게 인성적으로 제일 중요하다고 생각하는 자질은 뭐라고 보세요?,
국제의료관광코디네이터,인성,9,"피드백을 받았을 때 기분이 상하는 편인가요, 아니면 일단 받아들이는 편인가요? 본인 스타일이 어때요?",
국제의료관광코디네이터,인성,10,"갈등 상황이 생겼을 때 보통 먼저 다가가서 푸는 편인가요, 아니면 시간을 두는 편인가요?",
국제의료관광코디네이터,인성,11,"팀으로 일할 때 지원자분이 주로 맡는 역할은 뭐예요, 예를 들면 조율하는 사람인지 실행하는 사람인지요.",
국제의료관광코디네이터,인성,12,"팀원이 일을 제대로 안 해서 일정이 밀리는 상황이면, 지원자분은 어떤 식으로 이야기하실 건가요?",
국제의료관광코디네이터,인성,13,"상사가 본인을 부정적으로 평가하거나 계속 까다롭게 지적한다면, 그 상황을 어떻게 풀어가실 건가요?",
국제의료관광코디네이터,인성,14,"규정대로 해야 하는 상황과 환자 사정을 봐줘야 하는 상황이 충돌하면, 지원자분은 어떤 기준으로 판단하시겠어요?",
국제의료관광코디네이터,인성,15,"책임이 무거운 일을 맡았을 때 압박감이 생기면, 지원자분은 보통 어떤 반응을 보이세요?",
국제의료관광코디네이터,인성,16,"타인의 감정에 공감은 잘하는 편인가요, 아니면 해결책을 먼저 제시하는 편인가요? 본인 성향이 어떤지요.",
국제의료관광코디네이터,인성,17,"통역이나 안내를 하다가 본인이 잘못 전달한 걸 뒤늦게 알게 되면, 지원자분은 어떻게 보고하고 수습하시겠어요?",
국제의료관광코디네이터,인성,18,"외국인 환자랑 소통하다가 문화 차이 때문에 오해가 생긴 상황이 온다면, 지원자분은 어떤 태도로 먼저 풀어가실 건가요?",
국제의료관광코디네이터,인성,19,"환자나 보호자가 화가 많이 난 상태로 강하게 항의하면, 지원자분은 그 자리에서 어떤 순서로 대응하실 건가요?",
국제의료관광코디네이터,인성,20,"통역이나 안내 중에 환자가 본인에게 개인적인 부탁이나 선을 넘는 요구를 하면, 지원자분은 어떤 기준으로 거절하시겠어요?",
국제의료관광코디네이터,실무 1,1,"외국인 환자 문의가 들어왔을 때, 지원자분은 어떤 정보부터 확인하고 어떤 순서로 응대하실 건가요?",
국제의료관광코디네이터,실무 1,2,"환자가 본인 증상을 길게 설명하는데 의학용어는 모르고 표현이 애매할 때, 어떻게 질문을 구조화해서 필요한 정보를 뽑아내실 건가요?",
국제의료관광코디네이터,실무 1,3,"의료진 스케줄이 갑자기 변경돼서 예약을 옮겨야 하는 상황이면, 환자 불만을 최소화하면서 어떻게 안내하시겠어요?",
국제의료관광코디네이터,실무 1,4,"환자가 당일 노쇼하거나 지각했을 때, 내부적으로는 어떻게 공유하고 환자에게는 어떻게 후속 조치하시겠어요?",
국제의료관광코디네이터,실무 1,5,"환자에게 치료 옵션이 여러 개일 때, 코디네이터로서 어디까지 설명하고 어디부터는 의료진 설명으로 넘기실 건가요?",
국제의료관광코디네이터,실무 1,6,"통역을 할 때 ‘직역’과 ‘의미 전달’ 사이에서 기준을 어떻게 잡으세요, 그리고 그 이유는 뭐예요?",
국제의료관광코디네이터,실무 1,7,"환자가 “의료진이 불친절했다”, “설명이 부족했다” 같은 클레임을 제기하면, 현장에서 어떤 단계로 대응하시겠어요?",
국제의료관광코디네이터,실무 1,8,"응급상황이나 상태 악화가 의심될 때, 코디네이터로서 즉시 해야 할 보고·연락·조치 우선순위는 어떻게 잡으실 건가요?",
국제의료관광코디네이터,실무 1,9,"수술/시술 후 해외로 돌아가는 환자 사후관리는 어떤 방식으로 설계하고, 어떤 지표로 잘 되고 있는지 확인하시겠어요?",
국제의료관광코디네이터,실무 1,10,"동의서나 시술 전 설명처럼 민감한 내용을 안내할 때, 환자가 충분히 이해했는지 어떤 방식으로 확인하실 건가요?",
국제의료관광코디네이터,실무 1,11,"수술/시술 전날 갑자기 환자가 불안해하며 취소를 고민하면, 어떤 단계로 원인을 파악하고 누굴 연결하시겠어요?",
국제의료관광코디네이터,실무 1,12,"수술 후 합병증 가능성이나 부작용 문의가 들어왔을 때, 코디네이터가 답변할 수 있는 범위와 바로 의료진에게 넘겨야 하는 기준은 뭐라고 보세요?",
국제의료관광코디네이터,실무 1,13,"환자가 온라인에 부정 리뷰를 남기겠다고 하면, 현장에서 어떤 톤과 절차로 대응하실 건가요?",
국제의료관광코디네이터,실무 1,14,"공항 픽업이나 숙소 연계 요청이 들어왔을 때, 병원에서 해줄 수 있는 범위와 아닌 범위를 어떻게 구분해서 안내하시겠어요?",
국제의료관광코디네이터,실무 1,15,"환자가 “견적이 처음 말한 것보다 왜 늘었냐”라고 하면, 항목을 어떻게 풀어서 설명하고 합의점을 어떻게 찾으실 건가요?",
국제의료관광코디네이터,실무 1,16,"환자 본인이 아니라 가족이나 지인이 대신 정보를 요구할 때, 어느 선까지 안내할 수 있고 어떻게 거절하실 건가요?",
국제의료관광코디네이터,실무 1,17,"진료 대기 시간이 길어져서 불만이 커질 때, 현장에서 지원자분이 할 수 있는 안내와 조치에는 뭐가 있을까요?",
국제의료관광코디네이터,실무 1,18,"여러 부서와 동시에 협업해야 하는 상황에서, 커뮤니케이션 누락을 막는 본인만의 루틴이 있으세요?",
국제의료관광코디네이터,실무 1,19,"환자가 “다른 병원에서는 이렇게 말하던데요”라고 비교하면서 압박하면, 지원자분은 어떤 방식으로 사실 확인과 설명을 진행하시겠어요?",
국제의료관광코디네이터,실무 1,20,"의료진이 설명을 짧게 하고 나가셨는데 환자가 이해를 못 했다고 하면, 지원자분은 현장에서 어떻게 정리해드리고 다시 연결하시겠어요?",
국제의료관광코디네이터,실무 2,1,"환자가 의료진 앞에서는 “네”라고 하는데 따로 나와서는 “전혀 이해 못 했다”라고 말하면, 그 간극을 어떻게 확인하고 어떤 방식으로 다시 설명 절차를 잡으실 건가요?",
국제의료관광코디네이터,실무 2,2,"수술/시술 동의 과정에서 환자가 서명을 망설이며 보호자랑 의견이 갈릴 때, 코디네이터로서 개입 가능한 범위 안에서 어떻게 진행을 정리하시겠어요?",
국제의료관광코디네이터,실무 2,3,"환자가 “의료진이 말한 것과 코디가 말한 게 다르다”라고 주장하며 분쟁 조짐이 보일 때, 사실관계 정리와 기록 관리는 어떻게 하실 건가요?",
국제의료관광코디네이터,실무 2,4,"환자가 “진단서 문구를 특정 표현으로 바꿔달라”고 요청하거나 보험 청구에 유리한 방향으로 유도하면, 어디까지 가능하고 어떻게 거절하시겠어요?",
국제의료관광코디네이터,실무 2,5,"미성년자나 의사결정 능력이 불명확한 환자 케이스가 들어오면, 동의권자 확인과 서류 절차를 어떤 순서로 안전하게 처리하시겠어요?",
국제의료관광코디네이터,실무 2,6,"진료 지연이나 검사 누락처럼 환자 안전에 영향이 갈 수 있는 운영 이슈를 발견했을 때, 누구에게 어떤 우선순위로 보고하고 어떻게 재발 방지를 설계하시겠어요?",
국제의료관광코디네이터,실무 2,7,"환자가 귀국 후 부작용을 호소하며 책임을 강하게 묻는 연락을 해오면, 응대 톤과 문서화, 의료진 연결 기준을 어떻게 운영하시겠어요?",
국제의료관광코디네이터,실무 2,8,"의료진이 바쁜 상황에서 코디가 잘못 개입하면 오히려 리스크가 커질 수 있는데, “내가 지금 나서도 되는 영역”을 어떻게 판단하시겠어요?",
국제의료관광코디네이터,실무 2,9,"다국적 환자들이 동시에 몰리는 날에 통역 리소스가 부족하면, 우선순위를 어떤 기준으로 배정하고 대체안을 어떻게 마련하시겠어요?",
국제의료관광코디네이터,실무 2,10,"“환자 만족”과 “업무 효율”이 충돌할 때가 많은데, 지원자분은 목표를 어떤 지표로 잡아야 균형이 맞는다고 보시나요?",
국제의료관광코디네이터,실무 2,11,"의료진 설명을 통역할 때 “완전한 중립”과 “환자 이해를 돕는 보조 설명” 사이에서 경계가 애매해지는데, 지원자분은 윤리 기준을 어떻게 세우고 지키시겠어요?",
국제의료관광코디네이터,실무 2,12,"환자가 통역 내용을 “그렇게 말한 적 없다”라고 부인할 때를 대비해서, 통역 기록을 어떤 방식으로 남기는 게 안전하다고 보시나요?",
