선택 직무,질문 구성,번호,질문,모범 답변
고객서비스/CS,지원동기,1,고객 서비스 직무에 지원하게 된 특별한 계기가 있으신지 말씀해 주시겠어요?,
고객서비스/CS,지원동기,2,많은 서비스 회사 중에서 굳이 우리 회사 CS팀에 지원하신 이유는 무엇인가요?,
고객서비스/CS,지원동기,3,본인이 생각하기에 꼭 우리 회사 고객센터에 와야만 하는 특별한 이유가 있나요?,
고객서비스/CS,지원동기,4,우리 회사의 고객 서비스 철학이나 문화 중 어떤 점에 매력을 느끼셨나요?,
고객서비스/CS,지원동기,5,우리 회사 CS팀에 입사하기 위해 그동안 구체적으로 어떤 노력들을 해오셨나요?,
고객서비스/CS,지원동기,6,지금 지원하신 그 직무에서 일하기 위해 본인은 어떤 준비를 해오셨나요?,
고객서비스/CS,지원동기,7,수많은 회사 중에서 왜 하필 우리 회사에 지원하셨는지 궁금합니다.,
고객서비스/CS,지원동기,8,"고객 응대가 참 힘든 일인데, 그럼에도 불구하고 이 일을 하고 싶으신 이유는 무엇인가요?",
고객서비스/CS,지원동기,9,"우리 회사에서 근무하게 된다면, 앞으로 어떤 CS 상담사로 기억되고 싶으신가요?",
고객서비스/CS,지원동기,10,"다른 좋은 회사들도 많은데, 그중에서 우리 회사를 선택하신 솔직한 이유를 말씀해 주시겠어요?",
고객서비스/CS,지원동기,11,"자기소개서에 적은 내용 말고, 지금 이 자리에서 지원자분이 우리 회사를 선택한 진짜 이유를 딱 한 문장으로 말씀해 주실 수 있나요?",
고객서비스/CS,지원동기,12,우리 회사의 고객 만족 비전 중에서 지원자분의 가치관과 가장 잘 맞는 부분은 무엇이었나요?,
고객서비스/CS,지원동기,13,입사하신다면 우리 회사의 어떤 점이 본인의 성장에 가장 큰 도움이 될 거라고 생각해서 지원하셨나요?,
고객서비스/CS,지원동기,14,"만약 오늘 면접에서 떨어지신다면, 다음 채용 때 우리 회사에 다시 지원하실 의향이 있으신가요? 그 이유는요?",
고객서비스/CS,지원동기,15,본인의 강점이 우리 회사의 고객 만족도 향상에 어떻게 기여할 수 있다고 생각해서 지원하게 되었나요?,
고객서비스/CS,지원동기,16,본인이 가지고 있는 서비스 철학이 우리 회사가 추구하는 미션과 어떻게 연결된다고 생각해서 지원하셨나요?,
고객서비스/CS,지원동기,17,"우리 회사에 입사하기 위해 오랜 기간 준비하셨을 텐데, 준비 과정에서 우리 회사에 대해 새롭게 알게 되거나 더 관심을 갖게 된 점이 있었나요?",
고객서비스/CS,지원동기,18,"사실 근무 환경이나 복지는 다 비슷비슷할 수도 있는데, 그런 조건을 떠나서 우리 회사만의 '이것' 때문에 지원했다 싶은 게 있으신가요?",
고객서비스/CS,지원동기,19,"나중에 입사해서 일하다가 너무 힘들 때, '그래도 내가 이 회사를 선택하길 잘했어'라고 생각하게 만들 만한 우리 회사의 매력은 무엇이라고 생각하시나요?",
고객서비스/CS,지원동기,20,"여러 회사에 지원하셨을 텐데, 만약 다른 곳에도 동시에 합격하신다면 망설임 없이 우리 회사를 선택하실 건가요?",
고객서비스/CS,강점/약점,1,CS 상담사로서 본인의 성격 중 가장 큰 장점은 무엇인지 말씀해 주시겠어요?,
고객서비스/CS,강점/약점,2,본인이 생각하는 단점은 무엇이며 혹시 보완하고 있는 점이 있나요?,
고객서비스/CS,강점/약점,3,본인은 어떤 응대 스타일을 가진 사람인지 간단하게 소개해 주시겠어요?,
고객서비스/CS,강점/약점,4,"고객 응대를 하다 보면 스트레스가 많이 쌓일 텐데, 평소에 본인만의 관리 방법이 따로 있으신가요?",
고객서비스/CS,강점/약점,5,평소 생활에서 오랫동안 꾸준히 해온 서비스 관련 활동이나 습관이 있다면 무엇인가요?,
고객서비스/CS,강점/약점,6,고객과 신뢰 관계를 형성하는 데 있어서 본인만이 가진 특별한 강점은 무엇이라고 생각하시나요?,
고객서비스/CS,강점/약점,7,고객 응대 중에 어려운 고객을 잘 달래거나 만족시켰던 구체적인 경험이 있다면 이야기해 주세요.,
고객서비스/CS,강점/약점,8,"과거에 고객 응대에서 실수했던 경험이 있다면 이야기해 주시고, 그 일을 통해 무엇을 배우셨는지 말씀해 주세요.",
고객서비스/CS,강점/약점,9,인생에서 가장 크게 실패했거나 좌절감을 느꼈던 경험은 무엇인가요?,
고객서비스/CS,강점/약점,10,지원자분의 성실함이나 꾸준함을 증명할 수 있는 특별한 경험이 있을까요?,
고객서비스/CS,강점/약점,11,건강이나 멘탈을 유지하기 위해 지키고 있는 본인만의 자기관리 루틴이 있으신가요?,
고객서비스/CS,강점/약점,12,CS 상담사에게 가장 필요한 인성적 자질은 무엇이라고 생각하시나요?,
고객서비스/CS,강점/약점,13,"전문적인 지식 외에, CS 상담사로서 갖춰야 할 가장 중요한 역량은 무엇이라고 보시나요?",
고객서비스/CS,강점/약점,14,본인의 강점을 실제 고객 응대 현장에서 어떻게 발휘하여 업무에 기여할 수 있을지 말씀해 주시겠어요?,
고객서비스/CS,강점/약점,15,봉사활동이나 서비스 관련 아르바이트 등 오랫동안 꾸준히 지속해온 활동이 있다면 소개해 주시겠어요?,
고객서비스/CS,강점/약점,16,"타인과 갈등을 겪었던 상황을 예로 들고, 그때 본인은 어떤 방식으로 문제를 해결했는지 설명해 주시겠어요?",
고객서비스/CS,강점/약점,17,지금까지 살면서 가장 큰 성취감이나 보람을 느꼈던 일은 무엇인가요?,
고객서비스/CS,강점/약점,18,"팀 프로젝트나 조별 과제를 할 때, 본인은 주로 어떤 역할을 맡는 편인가요?",
고객서비스/CS,강점/약점,19,"만약 팀장이 본인을 부정적으로 평가하거나 힘들게 한다면, 그 상황에 어떻게 대처하실 건가요?",
고객서비스/CS,강점/약점,20,주변 사람들이 평가하는 본인의 장점과 단점을 각각 하나씩 말씀해 주시겠어요?,
고객서비스/CS,직무관련1,1,좋은 고객 서비스란 무엇이라고 생각하시나요?,
고객서비스/CS,직무관련1,2,"최근에 가장 인상 깊었던 고객 서비스 경험은 무엇이고, 왜 그렇게 생각하시나요?",
고객서비스/CS,직무관련1,3,우리 회사 고객을 응대한다면 어떤 방식으로 접근하시겠어요?,
고객서비스/CS,직무관련1,4,전화 상담과 채팅 상담의 차이점은 무엇이라고 보시나요?,
고객서비스/CS,직무관련1,5,고객 응대 시 가장 중요하게 생각해야 할 점은 무엇인가요?,
고객서비스/CS,직무관련1,6,고객의 니즈를 파악할 때 어떤 기준으로 질문하시나요?,
고객서비스/CS,직무관련1,7,고객 만족도와 처리 속도 중 무엇이 더 중요하다고 생각하시나요?,
고객서비스/CS,직무관련1,8,CS 품질을 측정할 때 주로 어떤 지표를 활용해야 한다고 보시나요?,
고객서비스/CS,직무관련1,9,불만 고객과 일반 고객의 응대 방식은 어떻게 달라야 한다고 생각하시나요?,
고객서비스/CS,직무관련1,10,응대 매뉴얼이 없는 상황이라면 어떤 방식으로 대처하시겠어요?,
고객서비스/CS,직무관련1,11,고객 경험에서 가장 중요한 요소는 무엇이라고 생각하시나요?,
고객서비스/CS,직무관련1,12,고객 데이터를 분석할 때 주로 어떤 방법을 사용해야 할까요?,
고객서비스/CS,직무관련1,13,CS 트렌드 중에서 앞으로 가장 주목해야 할 것은 무엇이라고 보시나요?,
고객서비스/CS,직무관련1,14,고객의 소리를 수집하고 분석해본 경험이 있으신가요?,
고객서비스/CS,직무관련1,15,고객 응대 시나리오를 작성할 때 가장 먼저 고려하시는 부분은 무엇인가요?,
고객서비스/CS,직무관련1,16,옴니채널 고객 서비스의 중요성에 대해 어떻게 생각하시나요?,
고객서비스/CS,직무관련1,17,우리 회사의 고객 서비스를 분석해보신 적 있으신가요?,
고객서비스/CS,직무관련1,18,CS 도구나 CRM 시스템 중에서 사용해본 것이 있으신가요?,
