선택 직무,질문 구성,번호,질문,모범 답변
인사/HR,지원동기,1,인사 직무에 지원하게 된 특별한 계기가 있으신지 말씀해 주시겠어요?,
인사/HR,지원동기,2,많은 기업 중에서 굳이 우리 회사 인사팀에 지원하신 이유는 무엇인가요?,
인사/HR,지원동기,3,본인이 생각하기에 꼭 우리 회사 HR에 와야만 하는 특별한 이유가 있나요?,
인사/HR,지원동기,4,우리 회사의 인사 철학이나 조직 문화 중 어떤 점에 매력을 느끼셨나요?,
인사/HR,지원동기,5,우리 회사 인사팀에 입사하기 위해 그동안 구체적으로 어떤 노력들을 해오셨나요?,
인사/HR,지원동기,6,지금 지원하신 그 직무에서 일하기 위해 본인은 어떤 준비를 해오셨나요?,
인사/HR,지원동기,7,수많은 회사 중에서 왜 하필 우리 회사에 지원하셨는지 궁금합니다.,
인사/HR,지원동기,8,"인사 업무가 참 섬세하고 어려운 일인데, 그럼에도 불구하고 이 일을 하고 싶으신 이유는 무엇인가요?",
인사/HR,지원동기,9,"우리 회사에서 근무하게 된다면, 앞으로 어떤 HR 담당자로 기억되고 싶으신가요?",
인사/HR,지원동기,10,"다른 좋은 회사들도 많은데, 그중에서 우리 회사를 선택하신 솔직한 이유를 말씀해 주시겠어요?",
인사/HR,지원동기,11,"자기소개서에 적은 내용 말고, 지금 이 자리에서 지원자분이 우리 회사를 선택한 진짜 이유를 딱 한 문장으로 말씀해 주실 수 있나요?",
인사/HR,지원동기,12,우리 회사의 핵심 가치나 인재상 중에서 지원자분의 가치관과 가장 잘 맞는 부분은 무엇이었나요?,
인사/HR,지원동기,13,입사하신다면 우리 회사의 어떤 점이 본인의 성장에 가장 큰 도움이 될 거라고 생각해서 지원하셨나요?,
인사/HR,지원동기,14,"만약 오늘 면접에서 떨어지신다면, 다음 채용 때 우리 회사에 다시 지원하실 의향이 있으신가요? 그 이유는요?",
인사/HR,지원동기,15,본인의 강점이 우리 회사의 인재 관리에 어떻게 기여할 수 있다고 생각해서 지원하게 되었나요?,
인사/HR,지원동기,16,본인이 가지고 있는 인사 철학이 우리 회사가 추구하는 조직 문화와 어떻게 연결된다고 생각해서 지원하셨나요?,
인사/HR,지원동기,17,"우리 회사에 입사하기 위해 오랜 기간 준비하셨을 텐데, 준비 과정에서 우리 회사에 대해 새롭게 알게 되거나 더 관심을 갖게 된 점이 있었나요?",
