선택 직무,질문 구성,번호,질문,모범 답변
글로벌 마케팅,지원동기,1,글로벌 마케팅 직무에 관심을 갖게 된 계기가 뭔가요?,
글로벌 마케팅,지원동기,2,국내 마케팅이 아닌 글로벌 마케팅을 선택한 이유는 무엇인가요?,
글로벌 마케팅,지원동기,3,우리 회사의 글로벌 전략 중에서 가장 인상 깊었던 부분은 뭔가요?,
글로벌 마케팅,지원동기,4,글로벌 마케팅 직무를 준비하면서 어떤 노력을 해오셨나요?,
글로벌 마케팅,지원동기,5,우리 회사가 진출한 해외 시장 중 가장 관심 있는 지역은 어딘가요?,
글로벌 마케팅,지원동기,6,글로벌 마케터로서 이루고 싶은 목표가 있다면 말씀해 주세요.,
글로벌 마케팅,지원동기,7,경쟁사와 비교했을 때 우리 회사의 글로벌 마케팅 강점은 뭐라고 보시나요?,
글로벌 마케팅,지원동기,8,글로벌 마케팅이 왜 중요하다고 생각하시나요?,
글로벌 마케팅,지원동기,9,만약 해외 주재원으로 발령받으면 가실 의향이 있으신가요?,
글로벌 마케팅,지원동기,10,우리 회사에서 글로벌 마케터로 일하게 된다면 어떤 캠페인을 해보고 싶으신가요?,
글로벌 마케팅,지원동기,11,글로벌 마케팅 직무가 회사 성장에 어떤 기여를 한다고 생각하시나요?,
글로벌 마케팅,지원동기,12,최근 글로벌 시장에서 화제가 된 마케팅 사례가 있나요?,
글로벌 마케팅,지원동기,13,글로벌 마케팅의 매력과 어려운 점을 각각 말씀해 주신다면요?,
글로벌 마케팅,지원동기,14,입사 후 가장 먼저 분석하고 싶은 해외 시장이 있나요?,
글로벌 마케팅,지원동기,15,우리 회사의 글로벌 브랜드 가치를 높이기 위해 어떻게 기여하시겠어요?,
글로벌 마케팅,지원동기,16,"만약 오늘 면접에서 떨어진다면, 다음에 다시 지원하실 건가요?",
글로벌 마케팅,지원동기,17,글로벌 마케팅 직무 준비하면서 가장 힘들었던 점은 뭐였나요?,
글로벌 마케팅,지원동기,18,우리 회사의 글로벌 비전 중에서 본인의 가치관과 가장 맞는 부분은 뭔가요?,
글로벌 마케팅,지원동기,19,"여러 회사에 지원하셨을 텐데, 다른 곳에도 합격하시면 우리 회사를 선택하실 건가요?",
글로벌 마케팅,지원동기,20,지금 이 자리에서 우리 회사 글로벌 마케팅 직무를 선택한 진짜 이유를 한 문장으로 말씀해 주세요.,
글로벌 마케팅,강점/약점,1,본인의 성격 중 글로벌 마케팅 업무에 가장 도움이 될 만한 강점은 뭔가요?,
글로벌 마케팅,강점/약점,2,주변 사람들이 본인을 어떻게 평가하나요?,
글로벌 마케팅,강점/약점,3,"본인이 생각하는 단점은 무엇이고, 어떻게 보완하고 계신가요?",
글로벌 마케팅,강점/약점,4,"창의적인 편인가요, 아니면 분석적인 편인가요?",
글로벌 마케팅,강점/약점,5,스트레스 상황에서 본인은 주로 어떻게 대처하시나요?,
