선택 직무,질문 구성,번호,질문,모범 답변
해외 영업,지원동기,1,해외 영업 직무에 관심을 갖게 된 계기가 뭔가요?,
해외 영업,지원동기,2,국내 영업이 아닌 해외 영업을 선택한 이유는 무엇인가요?,
해외 영업,지원동기,3,우리 회사가 진출한 해외 시장 중에서 가장 관심 있는 지역은 어딘가요?,
해외 영업,지원동기,4,해외 영업 직무를 준비하면서 어떤 노력을 해오셨나요?,
해외 영업,지원동기,5,우리 회사의 글로벌 영업 전략 중에서 가장 인상 깊었던 부분은 뭔가요?,
해외 영업,지원동기,6,해외 영업 담당자로서 이루고 싶은 목표가 있다면 말씀해 주세요.,
해외 영업,지원동기,7,경쟁사와 비교했을 때 우리 회사 제품의 글로벌 경쟁력은 뭐라고 보시나요?,
해외 영업,지원동기,8,해외 영업이 왜 중요하다고 생각하시나요?,
해외 영업,지원동기,9,만약 해외 주재원으로 발령받으면 가실 의향이 있으신가요?,
해외 영업,지원동기,10,우리 회사에서 해외 영업 담당자로 일하게 된다면 어떤 성과를 내고 싶으신가요?,
해외 영업,지원동기,11,해외 영업 직무가 회사 성장에 어떤 기여를 한다고 생각하시나요?,
해외 영업,지원동기,12,최근 우리 회사 제품의 해외 수출 동향에 대해 아시나요?,
해외 영업,지원동기,13,해외 영업의 매력과 어려운 점을 각각 말씀해 주신다면요?,
해외 영업,지원동기,14,입사 후 가장 먼저 공략하고 싶은 해외 시장이 있나요?,
해외 영업,지원동기,15,우리 회사의 글로벌 매출을 늘리기 위해 어떻게 기여하시겠어요?,
해외 영업,지원동기,16,"만약 오늘 면접에서 떨어진다면, 다음에 다시 지원하실 건가요?",
해외 영업,지원동기,17,해외 영업 직무 준비하면서 가장 힘들었던 점은 뭐였나요?,
해외 영업,지원동기,18,우리 회사의 글로벌 비전 중에서 본인의 가치관과 가장 맞는 부분은 뭔가요?,
해외 영업,지원동기,19,"여러 회사에 지원하셨을 텐데, 다른 곳에도 합격하시면 우리 회사를 선택하실 건가요?",
해외 영업,지원동기,20,지금 이 자리에서 우리 회사 해외 영업 직무를 선택한 진짜 이유를 한 문장으로 말씀해 주세요.,
해외 영업,강점/약점,1,본인의 성격 중 해외 영업 업무에 가장 도움이 될 만한 강점은 뭔가요?,
해외 영업,강점/약점,2,주변 사람들이 본인을 어떻게 평가하나요?,
해외 영업,강점/약점,3,"본인이 생각하는 단점은 무엇이고, 어떻게 보완하고 계신가요?",
해외 영업,강점/약점,4,"적극적인 성격인가요, 아니면 차분한 성격인가요?",
해외 영업,강점/약점,5,거절이나 실패 상황에서 본인은 주로 어떻게 대처하시나요?,
해외 영업,강점/약점,6,설득력을 증명할 수 있는 구체적인 사례가 있을까요?,
해외 영업,강점/약점,7,본인의 협상 능력을 보여줄 수 있는 경험이 있으신가요?,
해외 영업,강점/약점,8,압박이 심한 영업 목표 상황에서도 집중력을 유지할 수 있나요?,
해외 영업,강점/약점,9,팀 프로젝트 할 때 본인은 주로 어떤 역할을 맡는 편인가요?,
해외 영업,강점/약점,10,본인의 약점 때문에 영업에 문제가 생긴 적이 있나요?,
해외 영업,강점/약점,11,외국어 능력은 어느 정도 수준인가요? 실무에서 사용 가능한가요?,
해외 영업,강점/약점,12,다른 지원자들과 비교했을 때 본인만의 차별화된 강점은 뭔가요?,
해외 영업,강점/약점,13,신규 고객 개척과 기존 고객 관리 중에 뭐가 더 자신 있으신가요?,
해외 영업,강점/약점,14,본인이 생각하기에 가장 어려워할 것 같은 영업 상황은 뭔가요?,
해외 영업,강점/약점,15,여러 고객을 동시에 관리하는 멀티태스킹에 자신 있으신가요?,
해외 영업,강점/약점,16,본인의 프레젠테이션 능력은 어느 정도라고 평가하시나요?,
해외 영업,강점/약점,17,숫자에 강한 편인가요? 영업 데이터 분석은 자신 있으신가요?,
해외 영업,강점/약점,18,본인의 강점을 해외 영업 업무에서 어떻게 활용하실 건가요?,
해외 영업,강점/약점,19,끈기가 있는 편인가요? 구체적인 예시가 있을까요?,
해외 영업,강점/약점,20,거절당했을 때 어떻게 반응하는 편인가요?,
해외 영업,직무관련1,1,해외 영업과 국내 영업의 가장 큰 차이는 뭔가요?,
해외 영업,직무관련1,2,"FOB, CIF 같은 무역 조건에 대해 설명해 주실 수 있나요?",
해외 영업,직무관련1,3,신용장 거래가 뭔지 설명해 주세요.,
해외 영업,직무관련1,4,영업 프로세스를 단계별로 설명해 주실 수 있나요?,
해외 영업,직무관련1,5,해외 바이어를 발굴하는 방법에는 어떤 것들이 있나요?,
해외 영업,직무관련1,6,무역 박람회의 중요성에 대해 어떻게 생각하시나요?,
해외 영업,직무관련1,7,환율 변동이 수출 기업에 미치는 영향을 설명해 주시겠어요?,
해외 영업,직무관련1,8,오퍼와 견적의 차이를 설명해 주세요.,
해외 영업,직무관련1,9,B2B 영업과 B2C 영업의 차이는 뭔가요?,
해외 영업,직무관련1,10,판매 파이프라인이 뭔지 설명해 주실 수 있나요?,
해외 영업,직무관련1,11,CRM 시스템을 사용해본 경험이 있나요?,
해외 영업,직무관련1,12,무역 대금 결제 방법의 종류를 아는 대로 말씀해 주세요.,
해외 영업,직무관련1,13,관세와 비관세 장벽에 대해 설명해 주시겠어요?,
해외 영업,직무관련1,14,원산지 증명서가 왜 필요한지 아시나요?,
해외 영업,직무관련1,15,FTA가 수출에 어떤 영향을 주나요?,
해외 영업,직무관련1,16,영업 목표 달성을 위한 전략은 어떻게 세우시겠어요?,
해외 영업,직무관련1,17,클레임 처리 절차를 설명해 주실 수 있나요?,
해외 영업,직무관련1,18,영업 성과를 측정하는 주요 지표는 어떤 것들이 있나요?,
해외 영업,직무관련1,19,독점 판매권과 비독점 판매권의 차이를 아시나요?,
해외 영업,직무관련1,20,해외 시장 진입 전략의 종류를 아는 대로 말씀해 주세요.,
해외 영업,직무관련2,1,신규 바이어 발굴은 어떤 방법으로 하시겠어요?,
해외 영업,직무관련2,2,해외 바이어와 첫 미팅 시 어떤 순서로 진행하시겠어요?,
해외 영업,직무관련2,3,영업 제안서를 작성해본 경험이 있으신가요?,
해외 영업,직무관련2,4,가격 협상 시 어떤 전략을 사용하시겠어요?,
해외 영업,직무관련2,5,해외 시장 조사는 어떤 방법으로 진행하시겠어요?,
해외 영업,직무관련2,6,경쟁사 제품과 비교해서 우리 제품을 어떻게 차별화해서 소개하시겠어요?,
해외 영업,직무관련2,7,영업 실적을 추적하고 관리하는 본인만의 방법이 있나요?,
해외 영업,직무관련2,8,장기 거래 고객은 어떻게 관리하시겠어요?,
해외 영업,직무관련2,9,고객의 니즈를 파악하는 질문 기법을 알고 계시나요?,
해외 영업,직무관련2,10,거래처가 갑자기 주문을 취소하면 어떻게 대응하시겠어요?,
해외 영업,직무관련2,11,영업 목표 달성이 어려울 때 어떤 액션 플랜을 세우시겠어요?,
해외 영업,직무관련2,12,대금 미회수 리스크를 줄이기 위한 방법은 뭐가 있을까요?,
해외 영업,직무관련2,13,온라인 영업 채널을 활용한 경험이 있나요?,
해외 영업,직무관련2,14,고객 불만이나 클레임을 처리한 경험이 있으신가요?,
해외 영업,직무관련2,15,영업 보고서는 어떤 내용을 담아서 작성하시겠어요?,
해외 영업,직무관련2,16,해외 전시회에 참가한 경험이 있으신가요? 어떻게 준비하셨나요?,
해외 영업,직무관련2,17,문화적 차이를 고려한 영업 전략을 세워본 경험이 있나요?,
해외 영업,직무관련2,18,영업 파이프라인 관리는 어떤 방식으로 하시겠어요?,
